synindex,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,4.555,0.0,18.1,0,0.718,4.519,100.0,1.6132,24.0,666.0,20.2,287.67,31.99,7.4
1,0.06905,0.0,2.18,1,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,243.02,9.54,21.6
2,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,394.98,6.05,33.4
3,0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3.0,252.0,18.3,395.63,4.32,30.8
4,0.7857,0.0,8.14,0,0.538,6.567,69.1,3.6519,4.0,307.0,21.0,252.07,8.37,22.9
5,1.62864,0.0,21.89,0,0.624,5.019,100.0,1.4394,4.0,437.0,21.2,45.06,18.06,15.2
6,0.30347,0.0,7.38,0,0.493,6.312,28.9,5.4159,5.0,287.0,19.6,238.55,6.37,20.4
7,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,342.82,5.49,24.1
8,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2.0,348.0,14.7,392.52,10.45,22.8
9,0.80531,0.0,8.14,1,0.538,5.457,100.0,5.8221,4.0,307.0,21.0,285.05,17.9,16.5
10,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0
11,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
12,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
13,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
14,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
15,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
16,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
17,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
18,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
19,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
20,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0
21,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
22,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
23,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
24,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
25,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
26,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
27,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
28,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
29,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
30,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
31,0.02729,0.0,7.07,1,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
32,0.03237,0.0,2.18,1,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
33,0.06905,0.0,2.18,1,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
34,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
35,0.08829,12.5,7.87,1,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
36,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
37,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
38,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
39,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5.0,311.0,15.2,392.52,20.45,15.0
40,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0
41,0.02731,0.0,7.07,1,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
42,0.02729,0.0,7.07,1,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
43,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
44,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
45,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
46,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
47,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
48,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
49,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
50,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0
51,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
52,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
53,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
54,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
55,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
56,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
57,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
58,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
59,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
60,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
61,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
62,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
63,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
64,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
65,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
66,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
67,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
68,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
69,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5.0,311.0,15.2,392.52,20.45,15.0
70,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1.0,296.0,15.3,396.9,4.98,24.0
71,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2.0,242.0,17.8,396.9,9.14,21.6
72,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2.0,242.0,17.8,392.83,4.03,34.7
73,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3.0,222.0,18.7,394.63,2.94,33.4
74,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3.0,222.0,18.7,396.9,5.33,36.2
75,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3.0,222.0,18.7,394.12,5.21,28.7
76,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5.0,311.0,15.2,395.6,12.43,22.9
77,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5.0,311.0,15.2,396.9,19.15,27.1
78,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5.0,311.0,15.2,386.63,29.93,16.5
79,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5.0,311.0,15.2,386.71,17.1,18.9
